train_loss,val_loss,val_psnr,val_ssim,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/architecture,config/lr,config/batch_size,config/num_epochs,config/optimizer,logdir
0.009847487829735173,0.010301431640982628,19.984295830090563,0.6148991584777832,1757695037,,False,20,63039_00015,2025-09-12_23-37-17,4.469098806381226,87.45097470283508,5432,saig-now,127.0.0.1,87.45097470283508,20,"[32, 64, 128, 256]",0.0001,32,20,Adam,63039_00015
0.01764068844279757,0.015759363880052286,18.132562943715858,0.5193235874176025,1757695061,,False,10,63039_00016,2025-09-12_23-37-41,4.231648206710815,43.21105098724365,21856,saig-now,127.0.0.1,43.21105098724365,10,"[32, 64, 128]",0.001,16,10,SGD,63039_00016
0.02298069087167581,0.02151301218306317,16.743407583912916,0.3822339177131653,1757695088,,False,10,63039_00017,2025-09-12_23-38-08,4.627348899841309,45.39168882369995,12300,saig-now,127.0.0.1,45.39168882369995,10,"[32, 64, 128, 256]",0.001,16,10,SGD,63039_00017
0.019376180929077023,0.01818486478398828,17.528214238051984,0.4822768568992615,1757695109,,False,10,63039_00018,2025-09-12_23-38-29,4.145898818969727,42.240110635757446,21656,saig-now,127.0.0.1,42.240110635757446,10,"[32, 64, 128]",0.001,32,10,SGD,63039_00018
0.025246555232168996,0.024659972966593856,16.149554417105104,0.34906986355781555,1757695136,,False,10,63039_00019,2025-09-12_23-38-56,4.407130479812622,43.141504526138306,23992,saig-now,127.0.0.1,43.141504526138306,10,"[32, 64, 128, 256]",0.001,32,10,SGD,63039_00019
0.03284012258604721,0.03224037384943051,15.023365588062589,0.3244737684726715,1757695156,,False,10,63039_00020,2025-09-12_23-39-16,4.289425373077393,42.52378010749817,23120,saig-now,127.0.0.1,42.52378010749817,10,"[32, 64, 128]",0.0001,16,10,SGD,63039_00020
0.04019358033935229,0.03867503398043268,14.22410696046637,0.24828866124153137,1757695187,,False,10,63039_00021,2025-09-12_23-39-47,4.624219179153442,45.965054512023926,23536,saig-now,127.0.0.1,45.965054512023926,10,"[32, 64, 128, 256]",0.0001,16,10,SGD,63039_00021
0.04255087914712289,0.04127579774050152,13.918448795150669,0.27821433544158936,1757695204,,False,10,63039_00022,2025-09-12_23-40-04,4.199568510055542,42.92948937416077,20008,saig-now,127.0.0.1,42.92948937416077,10,"[32, 64, 128]",0.0001,32,10,SGD,63039_00022
0.05149933410918012,0.050158460131462884,13.090071120719097,0.19793346524238586,1757695237,,False,10,63039_00023,2025-09-12_23-40-37,4.503971815109253,44.10079503059387,22016,saig-now,127.0.0.1,44.10079503059387,10,"[32, 64, 128, 256]",0.0001,32,10,SGD,63039_00023
0.01585321598858745,0.014339793747400536,18.59413674053391,0.5575612783432007,1757695297,,False,20,63039_00024,2025-09-12_23-41-37,4.328871011734009,86.97739911079407,17272,saig-now,127.0.0.1,86.97739911079407,20,"[32, 64, 128]",0.001,16,20,SGD,63039_00024
0.020484389682058936,0.01969593171687687,17.157166981315438,0.4155886173248291,1757695332,,False,20,63039_00025,2025-09-12_23-42-12,4.452634572982788,90.83528995513916,10736,saig-now,127.0.0.1,90.83528995513916,20,"[32, 64, 128, 256]",0.001,16,20,SGD,63039_00025
0.01629157699918484,0.01585183615851052,18.141713804653982,0.5307742357254028,1757695385,,False,20,63039_00026,2025-09-12_23-43-05,3.9576144218444824,83.780202627182,17156,saig-now,127.0.0.1,83.780202627182,20,"[32, 64, 128]",0.001,32,20,SGD,63039_00026
0.021977726780973813,0.02137041836977005,16.776140130162943,0.38648584485054016,1757695422,,False,20,63039_00027,2025-09-12_23-43-42,4.208920478820801,84.75285506248474,15428,saig-now,127.0.0.1,84.75285506248474,20,"[32, 64, 128, 256]",0.001,32,20,SGD,63039_00027
0.024251724393279463,0.0233024417915765,16.4249826289619,0.41234421730041504,1757695470,,False,20,63039_00028,2025-09-12_23-44-30,4.200469255447388,80.67233848571777,21988,saig-now,127.0.0.1,80.67233848571777,20,"[32, 64, 128]",0.0001,16,20,SGD,63039_00028
0.03150746289778639,0.031117580776267192,15.178045101410264,0.2993563115596771,1757695514,,False,20,63039_00029,2025-09-12_23-45-14,4.202150583267212,86.6789197921753,15884,saig-now,127.0.0.1,86.6789197921753,20,"[32, 64, 128, 256]",0.0001,16,20,SGD,63039_00029
0.03120758551556398,0.030061304130974936,15.314009736554574,0.35538774728775024,1757695555,,False,20,63039_00030,2025-09-12_23-45-55,3.8354103565216064,79.44843554496765,3012,saig-now,127.0.0.1,79.44843554496765,20,"[32, 64, 128]",0.0001,32,20,SGD,63039_00030
0.03885033880086506,0.03817383068449357,14.252972487139205,0.24349966645240784,1757695605,,False,20,63039_00031,2025-09-12_23-46-45,4.6401989459991455,86.32594776153564,12696,saig-now,127.0.0.1,86.32594776153564,20,"[32, 64, 128, 256]",0.0001,32,20,SGD,63039_00031
